Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,0.05,0.05,10.0,10.0,10.0,10.0,10.0,PALASHSECU
Reserves,,,,-0.01,-0.04,10.36,10.0,9.78,9.45,13.04,PALASHSECU
Borrowings,,,,,,,,2.88,2.98,2.56,PALASHSECU
Other Liabilities,,,,0.02,,1.84,2.46,0.32,0.28,0.14,PALASHSECU
Total,,,,0.06,0.01,22.2,22.46,22.98,22.71,25.74,PALASHSECU
Net Block,,,,,,0.42,0.4,0.45,0.42,0.39,PALASHSECU
Capital Work in Progress,,,,,,,0.07,,,,PALASHSECU
Investments,,,,,,21.76,21.76,22.34,22.11,22.82,PALASHSECU
Other Assets,,,,0.06,0.01,0.02,0.23,0.19,0.18,2.53,PALASHSECU
Total,,,,0.06,0.01,22.2,22.46,22.98,22.71,25.74,PALASHSECU
Receivables,,,,,,,,,,,PALASHSECU
Inventory,,,,,,,,,,,PALASHSECU
Cash & Bank,,,,0.05,0.01,,0.2,0.14,0.03,2.21,PALASHSECU
No. of Equity Shares,,,,50000.0,50000.0,10003102.0,10003102.0,10003102.0,10003102.0,10003102.0,PALASHSECU
New Bonus Shares,,,,,,,,,,,PALASHSECU
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,PALASHSECU
