Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,924.15,1248.9,1529.33,2007.07,2504.92,2990.25,3440.74,4132.47,4783.38,4465.94,TEAMLEASE
Raw Material Cost,,,,,,,,,,,TEAMLEASE
Change in Inventory,,,,,,,,,,,TEAMLEASE
Power and Fuel,2.31,1.79,1.19,1.2,1.39,1.69,1.55,1.94,3.3,2.35,TEAMLEASE
Other Mfr. Exp,1.81,0.53,0.29,3.54,5.28,7.1,7.37,10.46,12.22,11.24,TEAMLEASE
Employee Cost,904.85,1216.29,1479.03,1944.44,2438.86,2901.15,3319.43,3937.36,4580.19,4327.32,TEAMLEASE
Selling and admin,25.72,23.94,19.24,31.19,30.61,33.36,48.58,94.21,76.94,36.74,TEAMLEASE
Other Expenses,10.97,16.28,18.94,4.54,2.69,16.56,12.74,15.49,35.94,24.23,TEAMLEASE
Other Income,10.44,9.78,9.4,14.79,14.77,23.36,24.38,29.46,43.65,48.19,TEAMLEASE
Depreciation,3.71,3.59,1.88,2.67,3.01,3.99,3.72,3.04,14.73,15.12,TEAMLEASE
Interest,0.3,0.5,0.23,0.22,0.54,0.89,1.1,2.07,8.69,5.78,TEAMLEASE
Profit before tax,-15.08,-4.24,17.93,34.06,37.31,48.87,70.63,97.36,95.02,91.35,TEAMLEASE
Tax,,,,1.8,13.02,-0.67,-1.93,0.35,53.44,7.28,TEAMLEASE
Net profit,-15.09,-4.24,17.93,32.25,24.29,49.54,72.56,97.02,41.58,84.07,TEAMLEASE
