Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,96.77,121.64,1265.84,1318.41,1377.33,1200.33,1390.32,PRICOLLTD
Raw Material Cost,,,,83.62,94.53,841.6,858.09,956.33,824.93,982.34,PRICOLLTD
Change in Inventory,,,,0.63,-2.24,22.65,12.81,-9.21,-17.23,17.52,PRICOLLTD
Power and Fuel,,,,0.76,0.86,19.09,20.74,22.05,19.03,17.59,PRICOLLTD
Other Mfr. Exp,,,,0.88,0.74,23.64,17.01,20.64,17.9,17.78,PRICOLLTD
Employee Cost,,,,10.43,11.22,169.95,160.42,164.09,147.66,158.29,PRICOLLTD
Selling and admin,,,,4.14,3.31,92.05,97.08,101.36,76.48,39.74,PRICOLLTD
Other Expenses,,,,1.72,0.84,9.41,26.81,9.43,11.96,21.46,PRICOLLTD
Other Income,,,,1.81,10.6,4.29,6.67,-223.51,-178.09,7.36,PRICOLLTD
Depreciation,,,,9.26,8.65,66.0,71.57,80.2,92.69,90.95,PRICOLLTD
Interest,,,,1.11,0.78,8.72,11.96,18.59,31.08,40.53,PRICOLLTD
Profit before tax,,,,-12.71,9.07,62.32,74.21,-228.08,-216.72,46.52,PRICOLLTD
Tax,,,,,0.13,15.65,20.75,-0.14,-3.84,31.92,PRICOLLTD
Net profit,,,,-12.71,8.94,46.67,53.47,-227.93,-212.88,14.6,PRICOLLTD
