Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,0.01,0.01,0.01,0.01,10.0,NURECA
Reserves,,,,,,,0.02,0.04,14.96,153.29,NURECA
Borrowings,,,,,,,,,9.7,3.81,NURECA
Other Liabilities,,,,,,0.07,0.31,1.23,9.19,18.79,NURECA
Total,,,,,,0.08,0.34,1.28,33.86,185.89,NURECA
Net Block,,,,,,,,0.06,1.06,3.37,NURECA
Capital Work in Progress,,,,,,,,,,0.3,NURECA
Investments,,,,,,,,,0.05,0.82,NURECA
Other Assets,,,,,,0.08,0.34,1.22,32.75,181.4,NURECA
Total,,,,,,0.08,0.34,1.28,33.86,185.89,NURECA
Receivables,,,,,,0.02,0.14,0.13,12.9,3.7,NURECA
Inventory,,,,,,,0.13,0.84,16.43,36.78,NURECA
Cash & Bank,,,,,,,0.04,0.08,0.04,126.45,NURECA
No. of Equity Shares,,,,,,10000.0,10000.0,10000.0,10000.0,10000175.0,NURECA
New Bonus Shares,,,,,,,,,,,NURECA
Face value,,,,,,10.0,10.0,10.0,10.0,10.0,NURECA
