Report Date,Unnamed: 1,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,0.05,102.5,300.0,300.0,20.3,20.5,20.8,20.9,21.0,LTTS
Reserves,,,-17.82,6.74,789.4,1511.2,1944.8,2415.1,2599.1,3319.1,LTTS
Borrowings,,,48.69,155.38,112.7,,,42.6,23.9,,LTTS
Other Liabilities,,,503.52,1252.36,647.9,619.0,627.6,747.3,1437.8,1480.0,LTTS
Total,,0.05,636.89,1714.48,1850.0,2150.5,2592.9,3225.8,4081.7,4820.1,LTTS
Net Block,,,404.69,523.77,560.3,558.9,553.0,565.4,959.5,1019.6,LTTS
Capital Work in Progress,,,,0.25,14.3,2.3,0.1,,8.7,11.9,LTTS
Investments,,,,6.1,61.6,198.8,322.5,752.4,765.2,1700.6,LTTS
Other Assets,,0.05,232.2,1184.36,1213.8,1390.5,1717.3,1908.0,2348.3,2088.0,LTTS
Total,,0.05,636.89,1714.48,1850.0,2150.5,2592.9,3225.8,4081.7,4820.1,LTTS
Receivables,,,149.99,667.33,711.7,711.0,951.3,1017.3,1321.2,1175.1,LTTS
Inventory,,,,,,,,,,,LTTS
Cash & Bank,,0.05,29.5,112.2,80.9,62.2,143.7,191.6,227.1,200.2,LTTS
No. of Equity Shares,,50000.0,102500000.0,300000000.0,75000000.0,101690392.0,102456047.0,104013325.0,104511558.0,105045823.0,LTTS
New Bonus Shares,,,,,,,,,,,LTTS
Face value,,10.0,10.0,10.0,40.0,2.0,2.0,2.0,2.0,2.0,LTTS
