Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,,,73.61,33.66,MAXIND
Raw Material Cost,,,,,,,,,,,MAXIND
Change in Inventory,,,,,,,,,,,MAXIND
Power and Fuel,,,,,,,,,0.14,0.05,MAXIND
Other Mfr. Exp,,,,,,,,,2.21,1.69,MAXIND
Employee Cost,,,,,,,,,29.87,10.26,MAXIND
Selling and admin,,,,,,,,,22.1,13.77,MAXIND
Other Expenses,,,,,,,,,24.0,0.18,MAXIND
Other Income,,,,,,,,,-112.32,-7.49,MAXIND
Depreciation,,,,,,,,,3.08,2.68,MAXIND
Interest,,,,,,,,,0.05,0.16,MAXIND
Profit before tax,,,,,,,,,-120.16,-2.62,MAXIND
Tax,,,,,,,,,3.09,-11.27,MAXIND
Net profit,,,,,,,,,-123.26,8.65,MAXIND
