Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,222.53,248.08,340.69,479.63,648.95,IPL
Raw Material Cost,,,,,,0.81,119.85,180.82,238.86,312.02,IPL
Change in Inventory,,,,,,6.92,-4.67,7.44,3.51,19.68,IPL
Power and Fuel,,,,,,10.85,12.76,17.19,22.37,28.29,IPL
Other Mfr. Exp,,,,,,129.06,18.87,44.18,74.1,67.91,IPL
Employee Cost,,,,,,12.2,12.06,13.45,16.4,22.74,IPL
Selling and admin,,,,,,19.98,21.21,25.27,33.94,42.94,IPL
Other Expenses,,,,,,-2.97,3.27,1.88,3.89,11.64,IPL
Other Income,,,,,,2.42,2.66,5.3,10.08,6.42,IPL
Depreciation,,,,,,3.25,3.5,3.96,5.07,6.14,IPL
Interest,,,,,,5.71,4.36,5.58,5.22,3.43,IPL
Profit before tax,,,,,,52.98,50.19,61.1,93.37,179.94,IPL
Tax,,,,,,17.54,17.38,17.18,22.57,45.42,IPL
Net profit,,,,,,35.44,32.81,43.92,70.8,134.53,IPL
