Report Date,Unnamed: 1,Unnamed: 2,2013-03-31 00:00:00,2014-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,13.24,13.03,8.12,4.83,74.67,118.95,92.56,37.7,SUNDARMHLD
Raw Material Cost,,,,,,,,,,,SUNDARMHLD
Change in Inventory,,,,,,,,,,,SUNDARMHLD
Power and Fuel,,,,,,,0.3,0.32,0.36,0.18,SUNDARMHLD
Other Mfr. Exp,,,7.0,4.57,,,0.54,0.64,0.62,0.59,SUNDARMHLD
Employee Cost,,,0.77,0.84,0.74,0.71,9.9,17.74,20.97,15.77,SUNDARMHLD
Selling and admin,,,4.28,4.32,6.07,0.21,2.82,4.73,4.39,2.85,SUNDARMHLD
Other Expenses,,,0.11,0.07,0.08,3.12,1.6,1.3,1.9,1.84,SUNDARMHLD
Other Income,,,,,0.02,0.01,0.92,1.75,1.79,2.06,SUNDARMHLD
Depreciation,,,,,,,0.28,0.29,0.71,0.74,SUNDARMHLD
Interest,,,,0.02,0.01,,0.07,0.19,0.28,0.14,SUNDARMHLD
Profit before tax,,,1.08,3.21,1.24,0.8,60.08,95.49,65.12,17.65,SUNDARMHLD
Tax,,,0.34,1.04,0.23,0.32,5.68,10.56,3.73,3.1,SUNDARMHLD
Net profit,,,0.73,2.17,1.0,0.48,54.4,84.93,61.39,14.55,SUNDARMHLD
