Report Date,Unnamed: 1,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,0.24,0.75,1.5,1.5,2.05,2.05,6.16,13.57,13.57,MCL
Reserves,,,-0.62,-0.08,0.95,4.99,7.36,6.89,28.61,33.08,MCL
Borrowings,,0.3,3.97,6.4,5.93,11.09,7.29,11.92,4.14,2.94,MCL
Other Liabilities,,0.26,0.64,4.19,0.73,4.69,7.13,20.57,13.5,80.7,MCL
Total,,0.8,4.74,12.01,9.11,22.82,23.83,45.54,59.82,130.29,MCL
Net Block,,0.59,2.29,2.38,2.56,3.84,5.53,12.1,12.83,15.3,MCL
Capital Work in Progress,,,,,,,,,,1.62,MCL
Investments,,,,0.04,,,0.8,1.18,1.15,1.15,MCL
Other Assets,,0.21,2.45,9.59,6.55,18.98,17.5,32.26,45.84,112.22,MCL
Total,,0.8,4.74,12.01,9.11,22.82,23.83,45.54,59.82,130.29,MCL
Receivables,,,0.67,6.3,3.51,8.65,13.74,23.59,13.1,36.3,MCL
Inventory,,,1.3,2.44,2.16,7.76,1.74,7.0,10.76,49.47,MCL
Cash & Bank,,0.07,0.02,,0.03,0.11,0.03,0.06,7.44,0.32,MCL
No. of Equity Shares,,235000.0,750000.0,1500000.0,1500000.0,2053600.0,2053600.0,6160800.0,27142800.0,27142800.0,MCL
New Bonus Shares,,,,,,,,,,,MCL
Face value,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,MCL
