Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,1.88,4.88,6.52,13.71,13.71,13.71,XELPMOC
Reserves,,,,,1.04,8.34,12.48,26.95,31.19,45.48,XELPMOC
Borrowings,,,,,,,,,0.67,,XELPMOC
Other Liabilities,,,,,1.27,5.5,6.07,9.17,8.02,10.62,XELPMOC
Total,,,,,4.19,18.72,25.07,49.83,53.59,69.81,XELPMOC
Net Block,,,,,0.11,0.09,0.31,0.18,0.95,0.14,XELPMOC
Capital Work in Progress,,,,,,,,0.14,0.18,0.18,XELPMOC
Investments,,,,,3.67,17.41,19.12,43.52,48.14,59.23,XELPMOC
Other Assets,,,,,0.41,1.22,5.64,5.99,4.32,10.26,XELPMOC
Total,,,,,4.19,18.72,25.07,49.83,53.59,69.81,XELPMOC
Receivables,,,,,0.02,0.47,2.08,0.95,0.99,2.94,XELPMOC
Inventory,,,,,,,,,,,XELPMOC
Cash & Bank,,,,,0.17,0.21,2.17,2.46,0.54,2.88,XELPMOC
No. of Equity Shares,,,,,1874999.0,4874998.0,6517132.0,13705298.0,13705298.0,13705298.0,XELPMOC
New Bonus Shares,,,,,,,,,,,XELPMOC
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,XELPMOC
