Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,31.8,31.8,37.48,37.48,39.28,41.28,41.28,41.28,SIMBHALS
Reserves,,,187.3,157.21,296.75,217.03,36.84,-30.39,-53.59,-57.69,SIMBHALS
Borrowings,,,49.51,52.46,1087.79,1013.04,1067.52,1049.61,1044.62,1030.95,SIMBHALS
Other Liabilities,,,43.08,50.76,618.15,858.17,765.8,1007.87,1141.91,1064.07,SIMBHALS
Total,,,311.69,292.23,2040.17,2125.72,1909.44,2068.37,2174.22,2078.61,SIMBHALS
Net Block,,,271.78,261.02,1395.51,1352.13,1325.88,1294.36,1261.5,1239.07,SIMBHALS
Capital Work in Progress,,,1.0,1.66,3.66,14.14,2.03,1.36,8.36,0.62,SIMBHALS
Investments,,,,,185.75,159.93,136.19,112.23,111.68,111.15,SIMBHALS
Other Assets,,,38.91,29.55,455.25,599.52,445.34,660.42,792.68,727.77,SIMBHALS
Total,,,311.69,292.23,2040.17,2125.72,1909.44,2068.37,2174.22,2078.61,SIMBHALS
Receivables,,,19.23,9.57,60.1,40.07,36.74,56.68,35.09,44.94,SIMBHALS
Inventory,,,10.57,10.71,296.59,397.36,335.04,480.95,550.89,464.76,SIMBHALS
Cash & Bank,,,1.71,2.28,21.08,76.79,17.59,23.29,59.21,57.52,SIMBHALS
No. of Equity Shares,,,31800000.0,31800000.0,37479000.0,37479000.0,39279020.0,41279020.0,41279020.0,41279020.0,SIMBHALS
New Bonus Shares,,,,,,,,,,,SIMBHALS
Face value,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,SIMBHALS
