Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,61.66,91.86,161.36,210.74,269.43,342.28,416.92,572.63,681.34,327.98,SAFARI
Raw Material Cost,44.31,59.08,106.48,136.56,173.62,217.23,243.17,392.46,359.31,140.15,SAFARI
Change in Inventory,8.15,8.01,15.58,11.86,15.25,16.94,19.02,62.09,-17.82,-46.72,SAFARI
Power and Fuel,0.71,0.59,0.8,1.42,2.03,2.61,2.04,3.55,4.72,2.35,SAFARI
Other Mfr. Exp,3.16,3.88,4.5,10.45,12.84,17.13,26.38,33.15,52.69,28.49,SAFARI
Employee Cost,7.41,14.78,17.55,23.71,29.2,40.1,53.1,65.49,76.87,60.08,SAFARI
Selling and admin,15.22,25.52,37.69,38.43,47.61,53.53,63.77,80.74,91.45,44.01,SAFARI
Other Expenses,-3.56,-8.12,2.8,-0.42,0.75,4.51,5.72,6.96,7.41,11.68,SAFARI
Other Income,0.39,-1.3,0.27,-0.51,0.72,0.17,0.61,0.85,0.61,2.9,SAFARI
Depreciation,0.4,0.43,1.28,2.89,4.07,5.1,6.13,8.15,21.5,20.42,SAFARI
Interest,3.21,3.55,5.57,3.24,3.28,3.88,2.89,4.47,10.02,5.79,SAFARI
Profit before tax,-0.66,-1.14,0.54,5.81,12.0,15.3,33.35,40.6,40.16,-28.81,SAFARI
Tax,0.05,-0.52,0.42,1.54,4.2,5.24,12.14,13.62,9.65,-7.96,SAFARI
Net profit,-0.71,-0.62,0.12,4.27,7.8,10.06,21.21,26.98,30.51,-20.86,SAFARI
