Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,2019-03-31 00:00:00,2020-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,,,0.19,0.2,TARSONS
Reserves,,,,,,,,,135.08,197.37,TARSONS
Borrowings,,,,,,,,,64.54,35.92,TARSONS
Other Liabilities,,,,,,,,,12.15,15.22,TARSONS
Total,,,,,,,,,211.96,248.71,TARSONS
Net Block,,,,,,,,,88.97,92.04,TARSONS
Capital Work in Progress,,,,,,,,,6.56,19.29,TARSONS
Investments,,,,,,,,,,,TARSONS
Other Assets,,,,,,,,,116.43,137.38,TARSONS
Total,,,,,,,,,211.96,248.71,TARSONS
Receivables,,,,,,,,,44.59,38.2,TARSONS
Inventory,,,,,,,,,46.45,48.73,TARSONS
Cash & Bank,,,,,,,,,0.94,26.25,TARSONS
No. of Equity Shares,,,,,,,,,192228.0,200241.0,TARSONS
New Bonus Shares,,,,,,,,,,,TARSONS
Face value,,,,,,,,,10.0,10.0,TARSONS
