Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,1148.89,2187.19,2373.29,2068.96,SPENCERS
Raw Material Cost,,,,,,,844.06,1749.72,1832.9,1675.38,SPENCERS
Change in Inventory,,,,,,,6.6,27.06,-39.24,4.89,SPENCERS
Power and Fuel,,,,,,,18.04,43.34,48.7,38.59,SPENCERS
Other Mfr. Exp,,,,,,,17.44,36.1,75.9,64.4,SPENCERS
Employee Cost,,,,,,,72.09,142.08,160.57,158.35,SPENCERS
Selling and admin,,,,,,,197.15,214.81,117.0,89.42,SPENCERS
Other Expenses,,,,,,,6.25,14.26,19.72,47.79,SPENCERS
Other Income,,,,,,,8.92,27.79,29.55,47.18,SPENCERS
Depreciation,,,,,,,14.68,24.55,104.96,106.17,SPENCERS
Interest,,,,,,,3.8,7.45,60.87,68.86,SPENCERS
Profit before tax,,,,,,,-9.1,9.73,-57.02,-127.93,SPENCERS
Tax,,,,,,,,1.79,,,SPENCERS
Net profit,,,,,,,-9.1,7.94,-57.02,-127.93,SPENCERS
