Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,789.57,912.38,984.25,1058.91,1007.65,59.26,1030.78,MAXHEALTH
Raw Material Cost,,,,239.24,260.69,271.04,291.76,226.39,,237.12,MAXHEALTH
Change in Inventory,,,,2.1,0.44,0.69,,,,,MAXHEALTH
Power and Fuel,,,,23.53,23.92,20.89,21.92,20.08,1.0,15.49,MAXHEALTH
Other Mfr. Exp,,,,32.15,18.0,21.01,11.84,17.0,0.86,22.05,MAXHEALTH
Employee Cost,,,,182.17,220.68,249.09,305.18,315.7,21.86,266.27,MAXHEALTH
Selling and admin,,,,281.4,356.22,366.0,454.02,446.08,40.75,362.44,MAXHEALTH
Other Expenses,,,,11.37,10.84,13.42,-36.76,-48.9,0.76,-33.49,MAXHEALTH
Other Income,,,,32.66,34.6,29.52,51.05,47.02,66.21,-104.16,MAXHEALTH
Depreciation,,,,49.44,50.37,50.61,48.81,53.02,3.35,90.75,MAXHEALTH
Interest,,,,43.17,30.27,35.15,40.77,43.58,59.99,112.45,MAXHEALTH
Profit before tax,,,,-38.14,-23.57,-12.75,-27.58,-18.28,-3.1,-146.46,MAXHEALTH
Tax,,,,,-0.02,,,4.7,-0.14,17.99,MAXHEALTH
Net profit,,,,-38.14,-23.55,-12.75,-27.58,-22.98,-2.96,-164.45,MAXHEALTH
