Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,,,96.62,114.13,NDRAUTO
Raw Material Cost,,,,,,,,,71.06,84.72,NDRAUTO
Change in Inventory,,,,,,,,,-1.03,-0.17,NDRAUTO
Power and Fuel,,,,,,,,,1.72,1.57,NDRAUTO
Other Mfr. Exp,,,,,,,,,13.42,12.95,NDRAUTO
Employee Cost,,,,,,,,,4.93,5.68,NDRAUTO
Selling and admin,,,,,,,,,1.63,2.33,NDRAUTO
Other Expenses,,,,,,,,,3.5,0.35,NDRAUTO
Other Income,,,,,,,,,9.19,8.3,NDRAUTO
Depreciation,,,,,,,,,7.38,4.97,NDRAUTO
Interest,,,,,,,,,0.15,0.12,NDRAUTO
Profit before tax,,,,,,,,,0.99,9.57,NDRAUTO
Tax,,,,,,,,,-0.67,2.62,NDRAUTO
Net profit,,,,,,,,,1.67,6.94,NDRAUTO
