Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,650.0,735.89,707.74,837.77,BECTORFOOD
Raw Material Cost,,,,,,,370.29,396.1,383.15,447.24,BECTORFOOD
Change in Inventory,,,,,,,7.04,-3.83,4.35,6.77,BECTORFOOD
Power and Fuel,,,,,,,29.14,38.37,35.99,35.88,BECTORFOOD
Other Mfr. Exp,,,,,,,8.93,9.65,10.73,11.3,BECTORFOOD
Employee Cost,,,,,,,90.26,108.05,115.63,125.43,BECTORFOOD
Selling and admin,,,,,,,81.11,89.5,73.45,84.08,BECTORFOOD
Other Expenses,,,,,,,3.68,6.72,11.42,7.51,BECTORFOOD
Other Income,,,,,,,3.59,7.6,7.11,9.8,BECTORFOOD
Depreciation,,,,,,,24.41,30.86,38.64,41.94,BECTORFOOD
Interest,,,,,,,5.53,12.85,15.59,9.89,BECTORFOOD
Profit before tax,,,,,,,47.28,47.56,34.6,91.07,BECTORFOOD
Tax,,,,,,,15.23,15.18,6.39,23.26,BECTORFOOD
Net profit,,,,,,,32.05,32.38,28.21,67.82,BECTORFOOD
