Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2011-03-31 00:00:00,2012-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,7.78,17.26,105.78,126.79,105.3,114.12,120.92,KBCGLOBAL
Raw Material Cost,,,,,,,,,,,KBCGLOBAL
Change in Inventory,,,,,,,,,,,KBCGLOBAL
Power and Fuel,,,,,,,,,,,KBCGLOBAL
Other Mfr. Exp,,,,,,71.02,84.89,64.77,70.81,77.63,KBCGLOBAL
Employee Cost,,,,,,2.0,2.43,2.77,3.45,3.05,KBCGLOBAL
Selling and admin,,,,,,5.09,7.16,7.04,11.43,4.51,KBCGLOBAL
Other Expenses,,,,6.94,15.55,0.98,0.5,0.77,1.04,0.68,KBCGLOBAL
Other Income,,,,,,4.06,7.76,3.44,3.28,7.54,KBCGLOBAL
Depreciation,,,,,,0.27,0.3,0.28,0.18,0.11,KBCGLOBAL
Interest,,,,,,18.27,20.4,17.08,17.85,14.56,KBCGLOBAL
Profit before tax,,,,0.84,1.71,12.21,18.87,16.03,12.64,27.92,KBCGLOBAL
Tax,,,,0.25,0.57,4.3,5.81,3.94,3.01,7.67,KBCGLOBAL
Net profit,,,,0.58,1.14,7.91,13.05,12.1,9.64,20.26,KBCGLOBAL
