Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,14.84,39.33,72.43,65.63,83.76,121.21,182.23,266.73,AFFLE
Raw Material Cost,,,,,,,,,,,AFFLE
Change in Inventory,,,,,,,,,,,AFFLE
Power and Fuel,,,0.01,0.02,0.02,0.14,0.06,0.06,0.06,0.01,AFFLE
Other Mfr. Exp,,,6.9,28.25,52.36,33.37,42.94,64.06,100.21,160.89,AFFLE
Employee Cost,,,3.4,5.36,9.65,17.62,15.95,24.15,31.04,37.96,AFFLE
Selling and admin,,,0.98,2.04,5.39,9.39,6.71,10.02,12.09,32.17,AFFLE
Other Expenses,,,0.94,1.81,-0.7,1.58,1.32,-5.26,-5.8,-4.35,AFFLE
Other Income,,,0.07,0.13,0.27,1.17,1.11,0.23,5.12,6.45,AFFLE
Depreciation,,,0.46,0.11,0.26,2.31,3.21,4.41,5.41,6.57,AFFLE
Interest,,,0.1,0.15,0.87,1.59,1.08,0.45,0.31,0.36,AFFLE
Profit before tax,,,2.12,1.72,4.85,0.8,13.6,23.55,44.03,39.57,AFFLE
Tax,,,0.82,-0.53,-0.15,0.47,4.77,6.87,11.14,11.34,AFFLE
Net profit,,,1.29,2.25,5.01,0.33,8.83,16.68,32.89,28.23,AFFLE
