Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,21.46,22.25,22.25,22.25,22.25,DPABHUSHAN
Reserves,,,,,,,18.82,30.61,47.46,74.92,DPABHUSHAN
Borrowings,,,,,,95.71,124.66,98.88,97.16,158.02,DPABHUSHAN
Other Liabilities,,,,,,21.28,29.07,78.28,101.78,142.15,DPABHUSHAN
Total,,,,,,138.45,194.8,230.02,268.65,397.34,DPABHUSHAN
Net Block,,,,,,19.12,26.11,26.93,29.68,42.17,DPABHUSHAN
Capital Work in Progress,,,,,,,,,0.57,0.25,DPABHUSHAN
Investments,,,,,,,,,,2.5,DPABHUSHAN
Other Assets,,,,,,119.33,168.69,203.09,238.4,352.42,DPABHUSHAN
Total,,,,,,138.45,194.8,230.02,268.65,397.34,DPABHUSHAN
Receivables,,,,,,0.84,2.25,2.79,1.04,2.51,DPABHUSHAN
Inventory,,,,,,108.61,147.9,184.83,229.9,320.17,DPABHUSHAN
Cash & Bank,,,,,,2.27,6.85,7.23,2.27,11.08,DPABHUSHAN
No. of Equity Shares,,,,,,21456300.0,22254850.0,22254850.0,22254850.0,22254850.0,DPABHUSHAN
New Bonus Shares,,,,,,,,,,,DPABHUSHAN
Face value,,,,,,10.0,10.0,10.0,10.0,10.0,DPABHUSHAN
