Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,0.1,,14.46,14.46,SHIL
Reserves,,,,,,,-0.05,67.86,76.59,94.56,SHIL
Borrowings,,,,,,,0.06,118.74,137.5,119.63,SHIL
Other Liabilities,,,,,,,0.01,98.9,168.88,216.59,SHIL
Total,,,,,,,0.12,285.5,397.43,445.24,SHIL
Net Block,,,,,,,,25.42,79.09,49.1,SHIL
Capital Work in Progress,,,,,,,,3.8,2.52,1.02,SHIL
Investments,,,,,,,0.1,1.67,1.87,1.87,SHIL
Other Assets,,,,,,,0.02,254.61,313.95,393.25,SHIL
Total,,,,,,,0.12,285.5,397.43,445.24,SHIL
Receivables,,,,,,,,87.61,117.18,158.22,SHIL
Inventory,,,,,,,,107.86,134.19,113.78,SHIL
Cash & Bank,,,,,,,0.02,8.72,0.4,1.97,SHIL
No. of Equity Shares,,,,,,,500000.0,,72296395.0,72296395.0,SHIL
New Bonus Shares,,,,,,,,,,,SHIL
Face value,,,,,,,2.0,,2.0,2.0,SHIL
