Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,1.5,1.5,10.5,10.5,31.5,AMIORG
Reserves,,,,,,37.85,56.5,70.61,97.48,132.45,AMIORG
Borrowings,,,,,,26.41,40.77,53.9,59.42,136.63,AMIORG
Other Liabilities,,,,,,43.42,56.36,77.35,60.63,109.71,AMIORG
Total,,,,,,109.18,155.13,212.36,228.03,410.29,AMIORG
Net Block,,,,,,14.5,14.9,57.67,62.18,160.61,AMIORG
Capital Work in Progress,,,,,,11.42,30.32,2.35,11.71,0.2,AMIORG
Investments,,,,,,15.4,21.17,28.0,27.89,33.24,AMIORG
Other Assets,,,,,,67.86,88.74,124.34,126.25,216.24,AMIORG
Total,,,,,,109.18,155.13,212.36,228.03,410.29,AMIORG
Receivables,,,,,,36.49,49.95,72.86,52.51,118.72,AMIORG
Inventory,,,,,,19.72,27.39,38.67,52.34,60.36,AMIORG
Cash & Bank,,,,,,3.23,0.65,0.32,3.27,1.56,AMIORG
No. of Equity Shares,,,,,,1500000.0,1500000.0,10500000.0,10500000.0,31500000.0,AMIORG
New Bonus Shares,,,,,,,,,,,AMIORG
Face value,,,,,,10.0,10.0,10.0,10.0,10.0,AMIORG
