Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,450.66,494.58,634.69,670.8,724.29,798.51,1910.75,2223.02,2423.36,2642.65,SUMICHEM
Raw Material Cost,,,503.04,524.2,514.71,575.02,1139.75,1387.08,1476.12,1781.62,SUMICHEM
Change in Inventory,,,21.03,15.34,7.8,43.83,44.97,102.04,-129.54,118.54,SUMICHEM
Power and Fuel,,,5.18,4.04,3.2,3.21,24.69,26.26,27.5,26.51,SUMICHEM
Other Mfr. Exp,,,2.09,2.51,1.82,1.62,199.04,234.78,61.9,50.23,SUMICHEM
Employee Cost,,,30.48,35.14,41.78,60.53,147.24,158.01,178.23,193.23,SUMICHEM
Selling and admin,,,73.23,87.16,73.53,73.96,166.83,184.46,163.87,163.79,SUMICHEM
Other Expenses,462.75,484.48,-6.0,-23.6,7.69,27.2,58.9,43.77,50.9,58.27,SUMICHEM
Other Income,1.4,2.68,3.16,8.29,25.78,10.46,30.54,-0.17,-20.05,18.97,SUMICHEM
Depreciation,,,6.31,6.29,7.44,6.95,23.73,27.79,40.92,46.56,SUMICHEM
Interest,,,1.59,0.66,0.65,1.17,5.38,4.75,7.05,6.83,SUMICHEM
Profit before tax,-10.69,12.78,42.96,58.03,107.05,103.14,220.7,257.99,267.28,453.12,SUMICHEM
Tax,,,9.81,23.21,42.43,41.54,75.61,90.99,61.66,107.83,SUMICHEM
Net profit,-10.69,12.78,33.15,34.82,64.63,61.61,145.09,167.0,205.63,345.3,SUMICHEM
