Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,2.16,2.92,36.04,36.04,36.04,36.04,IFGLEXPOR
Reserves,,,,,23.96,438.86,453.09,469.98,477.97,523.07,IFGLEXPOR
Borrowings,,,,,23.44,71.11,89.99,67.35,41.23,45.65,IFGLEXPOR
Other Liabilities,,,,,8.81,97.2,74.71,67.63,81.54,146.92,IFGLEXPOR
Total,,,,,58.37,610.09,653.83,641.0,636.78,751.68,IFGLEXPOR
Net Block,,,,,31.1,304.46,276.52,260.73,257.18,226.95,IFGLEXPOR
Capital Work in Progress,,,,,0.37,0.85,2.73,5.8,3.89,18.08,IFGLEXPOR
Investments,,,,,,68.67,69.48,102.31,149.98,184.09,IFGLEXPOR
Other Assets,,,,,26.9,236.11,305.1,272.16,225.73,322.56,IFGLEXPOR
Total,,,,,58.37,610.09,653.83,641.0,636.78,751.68,IFGLEXPOR
Receivables,,,,,18.93,154.9,206.96,140.58,125.05,156.72,IFGLEXPOR
Inventory,,,,,4.54,44.29,50.49,86.72,73.75,100.52,IFGLEXPOR
Cash & Bank,,,,,0.22,2.8,7.09,9.05,8.86,43.43,IFGLEXPOR
No. of Equity Shares,,,,,2160000.0,2916000.0,36039312.0,36039312.0,36039312.0,36039312.0,IFGLEXPOR
New Bonus Shares,,,,,,,,,,,IFGLEXPOR
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,IFGLEXPOR
