Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,241.56,18.96,19.61,20.4,22.03,22.43,22.26,24.23,25.66,17.45,CINELINE
Raw Material Cost,16.02,,,,,,,,,,CINELINE
Change in Inventory,,,,,,,,,,,CINELINE
Power and Fuel,18.72,0.66,0.76,0.86,0.51,0.42,0.47,0.42,0.5,0.18,CINELINE
Other Mfr. Exp,19.87,1.06,1.48,0.53,1.85,1.81,1.9,1.76,2.53,1.64,CINELINE
Employee Cost,26.03,0.37,0.82,1.07,1.34,1.43,1.43,1.65,1.75,0.83,CINELINE
Selling and admin,56.88,2.99,3.49,3.06,3.01,2.63,3.0,3.42,2.92,3.97,CINELINE
Other Expenses,71.0,0.47,0.11,3.57,0.88,1.01,0.92,0.9,1.11,1.36,CINELINE
Other Income,-3.63,-0.53,3.1,10.49,9.31,11.07,10.09,10.71,16.55,25.13,CINELINE
Depreciation,19.6,4.16,4.81,6.11,6.12,3.57,3.58,3.64,5.42,3.97,CINELINE
Interest,14.99,3.39,6.62,7.78,10.06,8.36,7.76,9.62,18.34,19.1,CINELINE
Profit before tax,-5.18,5.33,4.62,7.91,7.57,14.27,13.29,13.53,9.64,11.53,CINELINE
Tax,-6.08,1.49,1.51,3.96,1.81,3.75,2.74,3.67,1.99,3.61,CINELINE
Net profit,0.89,3.84,3.11,3.95,5.77,10.52,10.55,9.86,7.64,7.92,CINELINE
