Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,0.05,0.05,18.68,18.68,18.68,DCMNVL
Reserves,,,,,,,-0.01,130.6,134.94,165.48,DCMNVL
Borrowings,,,,,,,,176.08,179.26,165.49,DCMNVL
Other Liabilities,,,,,,,,32.26,44.84,39.65,DCMNVL
Total,,,,,,0.05,0.04,357.62,377.72,389.3,DCMNVL
Net Block,,,,,,,,94.42,94.71,95.5,DCMNVL
Capital Work in Progress,,,,,,,,0.2,12.38,0.01,DCMNVL
Investments,,,,,,,,,,,DCMNVL
Other Assets,,,,,,0.05,0.04,263.0,270.63,293.79,DCMNVL
Total,,,,,,0.05,0.04,357.62,377.72,389.3,DCMNVL
Receivables,,,,,,,,66.3,56.62,93.06,DCMNVL
Inventory,,,,,,,,169.44,179.84,136.92,DCMNVL
Cash & Bank,,,,,,0.05,0.04,10.16,1.02,0.25,DCMNVL
No. of Equity Shares,,,,,,50000.0,50000.0,18677749.0,18677749.0,18677749.0,DCMNVL
New Bonus Shares,,,,,,,,,,,DCMNVL
Face value,,,,,,10.0,10.0,10.0,10.0,10.0,DCMNVL
