Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,27.59,27.59,30.34,66.35,66.35,66.35,66.35,VIKASLIFE
Reserves,,,,18.91,19.62,23.05,96.01,23.9,-12.83,0.32,VIKASLIFE
Borrowings,,,,9.6,9.3,17.45,20.04,39.24,40.55,41.76,VIKASLIFE
Other Liabilities,,,,5.15,11.92,8.43,81.39,115.47,160.62,40.52,VIKASLIFE
Total,,,,61.25,68.43,79.27,263.79,244.96,254.69,148.95,VIKASLIFE
Net Block,,,,0.47,0.42,5.19,7.61,7.77,10.11,12.28,VIKASLIFE
Capital Work in Progress,,,,,,,,,,,VIKASLIFE
Investments,,,,46.48,45.11,42.91,120.82,48.0,9.94,3.32,VIKASLIFE
Other Assets,,,,14.3,22.9,31.17,135.36,189.19,234.64,133.35,VIKASLIFE
Total,,,,61.25,68.43,79.27,263.79,244.96,254.69,148.95,VIKASLIFE
Receivables,,,,9.4,14.89,25.28,112.69,135.05,116.24,42.92,VIKASLIFE
Inventory,,,,2.04,1.67,3.03,14.83,28.23,30.33,27.17,VIKASLIFE
Cash & Bank,,,,1.42,1.7,1.44,0.97,1.54,0.22,0.19,VIKASLIFE
No. of Equity Shares,,,,27590140.0,27590140.0,30340140.0,663495495.0,663495495.0,663495495.0,663495495.0,VIKASLIFE
New Bonus Shares,,,,,,,121360560.0,,,,VIKASLIFE
Face value,,,,10.0,10.0,10.0,1.0,1.0,1.0,1.0,VIKASLIFE
