Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,1882.18,3089.88,3066.46,4950.18,6027.76,7244.46,GRINFRA
Raw Material Cost,,,,,782.19,86.51,1093.41,3532.6,106.24,111.3,GRINFRA
Change in Inventory,,,,,79.24,-46.12,131.57,-0.33,2.3,4.37,GRINFRA
Power and Fuel,,,,,,4.92,7.92,,,,GRINFRA
Other Mfr. Exp,,,,,845.4,2206.55,1238.39,5.29,4174.58,5287.03,GRINFRA
Employee Cost,,,,,83.45,127.75,203.71,347.29,446.69,454.91,GRINFRA
Selling and admin,,,,,17.06,154.39,111.37,38.19,43.96,43.39,GRINFRA
Other Expenses,,,,,9.56,59.79,-21.57,19.07,16.99,38.05,GRINFRA
Other Income,,,,,14.45,295.73,51.78,67.37,93.76,124.04,GRINFRA
Depreciation,,,,,43.73,63.62,80.63,138.07,186.81,226.84,GRINFRA
Interest,,,,,38.12,53.33,63.18,105.66,145.56,139.9,GRINFRA
Profit before tax,,,,,156.36,582.63,472.77,831.05,1002.99,1071.45,GRINFRA
Tax,,,,,55.37,-0.44,80.04,235.33,314.22,290.85,GRINFRA
Net profit,,,,,100.99,583.08,392.73,595.71,688.77,780.61,GRINFRA
