Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,160.26,188.22,235.59,239.61,340.61,AMIORG
Raw Material Cost,,,,,,94.75,114.72,152.58,137.9,174.69,AMIORG
Change in Inventory,,,,,,-0.24,1.77,3.62,8.99,-4.81,AMIORG
Power and Fuel,,,,,,1.0,1.27,4.14,4.53,5.26,AMIORG
Other Mfr. Exp,,,,,,15.42,19.87,4.78,34.6,40.84,AMIORG
Employee Cost,,,,,,7.38,9.86,11.49,17.69,21.09,AMIORG
Selling and admin,,,,,,17.6,10.92,6.97,10.45,11.24,AMIORG
Other Expenses,,,,,,0.73,2.81,16.44,1.47,1.5,AMIORG
Other Income,,,,,,0.21,2.87,1.15,1.9,0.35,AMIORG
Depreciation,,,,,,1.37,1.9,2.6,3.52,4.19,AMIORG
Interest,,,,,,3.3,3.23,4.75,5.59,5.62,AMIORG
Profit before tax,,,,,,18.68,28.28,36.61,34.75,71.72,AMIORG
Tax,,,,,,6.63,9.85,11.98,7.29,17.72,AMIORG
Net profit,,,,,,12.05,18.43,24.63,27.47,54.0,AMIORG
