Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,50.11,104.79,79.15,49.95,61.11,123.42,POLICYBZR
Raw Material Cost,,,,,,,,,,,POLICYBZR
Change in Inventory,,,,,,,,,,,POLICYBZR
Power and Fuel,,,,,0.5,0.08,0.06,0.22,0.35,0.53,POLICYBZR
Other Mfr. Exp,,,,,0.28,0.01,0.04,0.04,,0.31,POLICYBZR
Employee Cost,,,,,34.31,30.89,37.83,77.59,76.15,130.45,POLICYBZR
Selling and admin,,,,,89.42,49.59,83.85,10.9,12.6,12.11,POLICYBZR
Other Expenses,,,,,36.71,25.17,0.35,0.67,0.17,0.2,POLICYBZR
Other Income,,,,,33.86,52.76,24.66,34.13,57.72,53.65,POLICYBZR
Depreciation,,,,,2.25,1.48,2.88,1.03,9.2,3.8,POLICYBZR
Interest,,,,,,0.01,0.02,0.01,1.44,2.33,POLICYBZR
Profit before tax,,,,,-79.5,50.32,-21.22,-6.38,18.92,27.34,POLICYBZR
Tax,,,,,,-25.52,25.52,9.43,9.18,8.33,POLICYBZR
Net profit,,,,,-79.49,75.83,-46.73,-15.81,9.74,19.01,POLICYBZR
