Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,,0.05,7.58,7.58,AARTISURF
Reserves,,,,,,,,127.25,103.37,125.08,AARTISURF
Borrowings,,,,,,,,96.65,90.27,132.32,AARTISURF
Other Liabilities,,,,,,,,55.97,61.06,118.91,AARTISURF
Total,,,,,,,,279.92,262.28,383.89,AARTISURF
Net Block,,,,,,,,137.87,151.35,186.74,AARTISURF
Capital Work in Progress,,,,,,,,4.47,13.95,19.74,AARTISURF
Investments,,,,,,,,31.5,0.01,0.01,AARTISURF
Other Assets,,,,,,,,106.08,96.97,177.4,AARTISURF
Total,,,,,,,,279.92,262.28,383.89,AARTISURF
Receivables,,,,,,,,30.56,17.92,54.43,AARTISURF
Inventory,,,,,,,,52.7,56.49,73.19,AARTISURF
Cash & Bank,,,,,,,,0.02,0.09,6.73,AARTISURF
No. of Equity Shares,,,,,,,,50000.0,7584477.0,7584477.0,AARTISURF
New Bonus Shares,,,,,,,,,,,AARTISURF
Face value,,,,,,,,10.0,10.0,10.0,AARTISURF
