Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,220.25,303.03,384.26,443.97,447.18,496.82,TEGA
Raw Material Cost,,,,,76.16,131.98,146.64,198.72,192.05,204.58,TEGA
Change in Inventory,,,,,-4.0,21.2,-15.06,3.37,4.83,7.44,TEGA
Power and Fuel,,,,,7.56,10.54,12.29,16.95,16.46,15.81,TEGA
Other Mfr. Exp,,,,,6.67,4.73,6.59,35.37,21.18,22.34,TEGA
Employee Cost,,,,,34.11,47.63,46.05,47.5,48.95,49.27,TEGA
Selling and admin,,,,,63.95,29.11,25.13,53.44,54.56,62.62,TEGA
Other Expenses,,,,,15.51,100.89,79.14,12.52,34.66,24.3,TEGA
Other Income,,,,,21.47,10.65,12.47,18.64,33.45,216.73,TEGA
Depreciation,,,,,9.47,18.72,23.92,23.56,25.68,24.76,TEGA
Interest,,,,,4.05,4.81,11.19,14.83,16.07,12.75,TEGA
Profit before tax,,,,,20.24,-13.53,30.72,63.09,75.85,304.56,TEGA
Tax,,,,,7.0,2.63,9.49,12.23,11.39,31.0,TEGA
Net profit,,,,,13.24,-16.16,21.23,50.86,64.47,273.56,TEGA
