Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,885.22,1092.7,1470.85,1809.62,1483.38,1546.29,CRAFTSMAN
Raw Material Cost,,,,,294.27,401.72,587.95,707.64,567.99,669.1,CRAFTSMAN
Change in Inventory,,,,,17.49,21.89,16.44,5.52,-15.14,9.6,CRAFTSMAN
Power and Fuel,,,,,51.11,66.17,85.59,96.64,85.09,82.1,CRAFTSMAN
Other Mfr. Exp,,,,,136.9,160.94,204.19,255.59,197.23,171.97,CRAFTSMAN
Employee Cost,,,,,119.87,144.9,196.32,226.97,153.11,143.13,CRAFTSMAN
Selling and admin,,,,,32.31,39.81,55.5,107.11,66.0,52.48,CRAFTSMAN
Other Expenses,,,,,43.58,78.42,82.7,6.73,3.72,3.08,CRAFTSMAN
Other Income,,,,,6.18,11.44,15.14,12.83,3.38,13.22,CRAFTSMAN
Depreciation,,,,,102.26,112.16,136.07,158.28,196.33,192.41,CRAFTSMAN
Interest,,,,,76.4,89.59,109.1,131.05,148.6,107.28,CRAFTSMAN
Profit before tax,,,,,52.19,32.32,45.01,137.96,53.55,147.56,CRAFTSMAN
Tax,,,,,13.27,-43.07,12.88,43.78,16.9,50.8,CRAFTSMAN
Net profit,,,,,38.92,75.39,32.13,94.18,36.65,96.76,CRAFTSMAN
