Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2010-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,169.56,776.86,856.28,1043.97,1026.22,1121.29,FINEORG
Raw Material Cost,,,,,97.91,502.98,548.82,647.95,636.01,715.4,FINEORG
Change in Inventory,,,,,,4.79,-8.06,-6.49,29.64,-10.82,FINEORG
Power and Fuel,,,,,,28.55,32.57,43.01,49.88,52.76,FINEORG
Other Mfr. Exp,,,,,,8.77,10.68,12.09,12.02,10.93,FINEORG
Employee Cost,,,,,,62.14,49.11,60.01,69.55,76.42,FINEORG
Selling and admin,,,,,,30.82,40.84,49.45,48.03,58.5,FINEORG
Other Expenses,,,,,45.61,1.7,2.23,2.72,4.29,4.41,FINEORG
Other Income,,,,,,4.28,16.38,20.23,20.51,17.04,FINEORG
Depreciation,,,,,,23.71,20.04,17.45,34.65,46.76,FINEORG
Interest,,,,,,4.36,3.12,1.79,4.78,6.09,FINEORG
Profit before tax,,,,,26.04,122.9,157.19,223.24,217.16,156.24,FINEORG
Tax,,,,,5.43,42.93,55.86,94.23,50.65,41.31,FINEORG
Net profit,,,,,20.62,79.97,101.34,129.01,166.5,114.93,FINEORG
