Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,650.52,746.35,845.62,1017.76,983.28,831.53,940.56,UTIAMC
Raw Material Cost,,,,,,,,,,,UTIAMC
Change in Inventory,,,,,,,,,,,UTIAMC
Power and Fuel,,,,4.71,5.22,4.98,5.78,5.4,5.71,3.5,UTIAMC
Other Mfr. Exp,,,,9.36,11.01,12.88,14.22,22.91,21.92,19.53,UTIAMC
Employee Cost,,,,206.36,246.25,257.9,293.19,276.79,309.65,343.0,UTIAMC
Selling and admin,,,,123.51,128.73,159.23,199.56,99.59,86.75,83.43,UTIAMC
Other Expenses,,,,2.87,4.43,7.0,9.88,95.23,18.79,18.99,UTIAMC
Other Income,,,,1.52,2.78,7.56,0.94,24.9,30.09,27.54,UTIAMC
Depreciation,,,,10.56,11.67,12.67,14.35,15.97,33.21,33.86,UTIAMC
Interest,,,,,,,,,9.3,7.97,UTIAMC
Profit before tax,,,,294.67,341.82,398.52,481.72,492.29,376.29,457.82,UTIAMC
Tax,,,,93.41,109.77,107.71,140.23,143.93,67.13,106.15,UTIAMC
Net profit,,,,201.26,232.05,290.81,341.49,348.36,309.16,351.67,UTIAMC
