Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,6125.98,8210.38,4536.79,3176.17,SWSOLAR
Raw Material Cost,,,,,,,5152.15,181.57,408.99,0.79,SWSOLAR
Change in Inventory,,,,,,,-11.9,-1.27,,,SWSOLAR
Power and Fuel,,,,,,,1.12,0.83,0.76,0.62,SWSOLAR
Other Mfr. Exp,,,,,,,586.0,7581.85,3644.73,3082.47,SWSOLAR
Employee Cost,,,,,,,82.42,103.67,138.37,122.34,SWSOLAR
Selling and admin,,,,,,,60.26,72.98,67.23,56.82,SWSOLAR
Other Expenses,,,,,,,39.68,48.53,43.48,122.55,SWSOLAR
Other Income,,,,,,,25.2,155.47,371.72,153.69,SWSOLAR
Depreciation,,,,,,,2.4,3.18,6.33,8.2,SWSOLAR
Interest,,,,,,,12.92,67.88,167.14,78.74,SWSOLAR
Profit before tax,,,,,,,202.33,304.09,431.48,-142.67,SWSOLAR
Tax,,,,,,,70.35,107.95,114.78,-31.23,SWSOLAR
Net profit,,,,,,,131.98,196.15,316.7,-111.44,SWSOLAR
