Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,,667.5,585.22,562.78,DCMNVL
Raw Material Cost,,,,,,,,457.07,421.39,371.75,DCMNVL
Change in Inventory,,,,,,,,-3.9,5.57,-7.62,DCMNVL
Power and Fuel,,,,,,,,61.25,54.51,47.84,DCMNVL
Other Mfr. Exp,,,,,,,,14.63,13.44,14.02,DCMNVL
Employee Cost,,,,,,,,38.11,41.45,41.36,DCMNVL
Selling and admin,,,,,,,0.01,27.08,21.29,19.66,DCMNVL
Other Expenses,,,,,,,,2.76,7.59,1.38,DCMNVL
Other Income,,,,,,,,7.86,3.77,6.3,DCMNVL
Depreciation,,,,,,,,17.01,16.47,16.03,DCMNVL
Interest,,,,,,,,14.43,11.86,8.41,DCMNVL
Profit before tax,,,,,,,-0.01,39.12,6.56,41.01,DCMNVL
Tax,,,,,,,,,2.24,10.5,DCMNVL
Net profit,,,,,,,-0.01,39.12,4.32,30.51,DCMNVL
