Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,0.05,0.05,59.02,59.02,TARC
Reserves,,,,,,,-0.01,-0.02,1420.57,1425.94,TARC
Borrowings,,,,,,,,,1068.65,1065.24,TARC
Other Liabilities,,,,,,,0.01,,356.97,357.91,TARC
Total,,,,,,,0.05,0.03,2905.21,2908.11,TARC
Net Block,,,,,,,,,809.63,827.47,TARC
Capital Work in Progress,,,,,,,,,,,TARC
Investments,,,,,,,,,566.15,558.18,TARC
Other Assets,,,,,,,0.05,0.03,1529.43,1522.46,TARC
Total,,,,,,,0.05,0.03,2905.21,2908.11,TARC
Receivables,,,,,,,,,0.1,0.18,TARC
Inventory,,,,,,,,,829.23,847.84,TARC
Cash & Bank,,,,,,,0.05,0.03,1.7,4.49,TARC
No. of Equity Shares,,,,,,,250000.0,250000.0,295096335.0,295096335.0,TARC
New Bonus Shares,,,,,,,,,,,TARC
Face value,,,,,,,2.0,2.0,2.0,2.0,TARC
