Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,3.36,4.83,6.56,7.87,10.49,BSHSL
Reserves,,,,,,1.17,3.38,14.12,15.47,18.44,BSHSL
Borrowings,,,,,,11.71,15.95,13.31,15.58,30.4,BSHSL
Other Liabilities,,,,,,3.99,6.6,4.5,8.0,13.36,BSHSL
Total,,,,,,20.23,30.76,38.49,46.92,72.69,BSHSL
Net Block,,,,,,5.41,3.79,8.93,8.61,8.25,BSHSL
Capital Work in Progress,,,,,,,2.85,0.22,,,BSHSL
Investments,,,,,,,,,,,BSHSL
Other Assets,,,,,,14.82,24.12,29.34,38.31,64.44,BSHSL
Total,,,,,,20.23,30.76,38.49,46.92,72.69,BSHSL
Receivables,,,,,,3.62,4.21,3.03,7.16,7.49,BSHSL
Inventory,,,,,,8.27,14.08,24.97,28.54,47.88,BSHSL
Cash & Bank,,,,,,0.04,1.86,0.07,0.18,5.19,BSHSL
No. of Equity Shares,,,,,,3356000.0,4826580.0,6558580.0,7870296.0,10493728.0,BSHSL
New Bonus Shares,,,,,,,,,,,BSHSL
Face value,,,,,,10.0,10.0,10.0,10.0,10.0,BSHSL
