Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,7506.69,9047.38,9267.14,11133.59,13421.02,15770.51,IRFC
Raw Material Cost,,,,,,,,,,,IRFC
Change in Inventory,,,,,,,,,,,IRFC
Power and Fuel,,,,,0.2,0.22,0.24,0.22,0.26,0.24,IRFC
Other Mfr. Exp,,,,,,,,,2.08,2.62,IRFC
Employee Cost,,,,,4.09,3.0,5.53,6.47,6.5,8.01,IRFC
Selling and admin,,,,,33.13,21.98,6.94,4.68,4.08,5.14,IRFC
Other Expenses,,,,,0.78,0.69,25.23,37.1,52.91,97.14,IRFC
Other Income,,,,,0.61,0.26,1.23,-0.02,0.06,0.33,IRFC
Depreciation,,,,,0.35,0.35,0.35,0.42,0.46,4.43,IRFC
Interest,,,,,5518.84,6888.13,6637.59,8183.1,10162.7,11237.13,IRFC
Profit before tax,,,,,1949.91,2133.27,2592.49,2901.58,3192.09,4416.13,IRFC
Tax,,,,,1101.22,1199.46,537.83,646.84,,,IRFC
Net profit,,,,,848.69,933.81,2054.66,2254.75,3192.1,4416.13,IRFC
