Report Date,Unnamed: 1,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,2743.98,3134.09,3300.19,3864.84,4605.91,5377.41,5985.78,2160.51,FLFL
Raw Material Cost,,,1744.2,2069.12,2177.42,2560.14,2686.53,3984.39,4390.56,1031.37,FLFL
Change in Inventory,,,47.16,149.75,131.88,114.92,36.06,525.4,424.95,-524.05,FLFL
Power and Fuel,,,77.76,92.66,92.27,95.1,115.02,136.32,140.53,73.42,FLFL
Other Mfr. Exp,,,16.44,18.47,21.64,23.48,26.63,29.6,28.92,9.81,FLFL
Employee Cost,,,129.09,169.19,188.56,205.01,243.07,296.91,314.75,173.14,FLFL
Selling and admin,,0.1,556.1,602.98,638.49,754.28,1007.49,759.09,309.53,182.3,FLFL
Other Expenses,,0.38,-1.46,-14.03,-33.48,-9.58,174.95,207.53,250.2,125.19,FLFL
Other Income,,0.15,313.37,6.45,-5.52,41.84,11.34,11.16,-58.27,8.52,FLFL
Depreciation,,,385.19,170.09,161.42,85.67,149.33,196.65,682.17,581.88,FLFL
Interest,,,162.95,158.33,135.25,117.41,94.72,104.38,301.33,338.62,FLFL
Profit before tax,,-0.33,34.24,23.48,44.98,190.09,155.57,199.1,-65.53,-870.75,FLFL
Tax,,0.01,10.96,4.93,15.51,34.34,45.06,53.73,7.88,0.82,FLFL
Net profit,,-0.34,23.28,18.55,29.47,155.75,110.51,145.37,-73.41,-871.57,FLFL
