Report Date,Unnamed: 1,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,1.12,19.63,35.61,71.45,168.77,212.88,202.28,383.35,MCL
Raw Material Cost,,,1.96,18.11,31.86,74.49,156.03,199.43,190.39,384.12,MCL
Change in Inventory,,,0.84,0.58,-0.72,6.58,-6.52,0.02,5.25,17.72,MCL
Power and Fuel,,,0.13,,0.47,0.4,0.58,1.57,,,MCL
Other Mfr. Exp,,,0.05,,0.23,0.2,0.41,1.75,,,MCL
Employee Cost,,,0.07,0.14,0.19,0.36,0.43,0.59,1.13,1.11,MCL
Selling and admin,,,0.05,,0.09,0.15,0.35,0.59,,,MCL
Other Expenses,,,0.01,0.69,0.01,,-0.04,0.08,7.31,6.71,MCL
Other Income,,,0.01,0.06,0.07,0.19,0.29,0.06,0.79,0.42,MCL
Depreciation,,,0.14,0.41,0.22,0.45,0.66,1.77,2.35,2.63,MCL
Interest,,,0.18,0.42,0.81,1.04,0.92,1.26,1.06,0.83,MCL
Profit before tax,,,-0.62,0.5,1.08,1.13,3.2,5.92,6.08,6.09,MCL
Tax,,,,0.15,0.35,0.29,0.83,2.28,1.62,1.62,MCL
Net profit,,,-0.62,0.35,0.73,0.84,2.37,3.64,4.45,4.47,MCL
