Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,1069.14,1595.07,2012.1,2887.53,3774.95,4986.52,5446.5,STARHEALTH
Raw Material Cost,,,,,,,,,,,STARHEALTH
Change in Inventory,,,,,,,,,,,STARHEALTH
Power and Fuel,,,,,,,,,,,STARHEALTH
Other Mfr. Exp,,,,661.34,824.29,1173.02,1713.17,2561.36,3428.32,4953.24,STARHEALTH
Employee Cost,,,,267.03,367.69,454.59,632.29,726.24,859.63,1248.96,STARHEALTH
Selling and admin,,,,249.52,207.38,321.88,436.64,188.72,153.23,100.62,STARHEALTH
Other Expenses,,,,11.4,39.22,-78.43,-109.18,88.41,102.63,140.98,STARHEALTH
Other Income,,,,,,,,0.12,0.16,-2.92,STARHEALTH
Depreciation,,,,18.69,17.5,20.08,23.08,28.09,29.44,45.73,STARHEALTH
Interest,,,,1.21,2.42,3.01,20.32,,,,STARHEALTH
Profit before tax,,,,-140.05,136.57,117.95,171.21,182.25,413.43,-1045.95,STARHEALTH
Tax,,,,,,,1.05,54.02,145.42,-220.37,STARHEALTH
Net profit,,,,-140.05,136.58,117.94,170.15,128.23,268.0,-825.58,STARHEALTH
