Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,1403.9,1858.48,1724.91,1720.26,2585.44,ISEC
Raw Material Cost,,,,,,,,,,,ISEC
Change in Inventory,,,,,,,,,,,ISEC
Power and Fuel,,,,,,9.86,6.32,7.75,8.39,5.94,ISEC
Other Mfr. Exp,,,,,,183.2,139.18,185.39,167.46,262.62,ISEC
Employee Cost,,,,,,473.95,535.24,541.95,523.38,576.05,ISEC
Selling and admin,,,,,,165.06,246.59,162.87,101.11,135.94,ISEC
Other Expenses,,,,,,6.64,17.14,15.38,26.16,12.51,ISEC
Other Income,,,,,,-0.25,-1.68,0.43,0.99,-0.69,ISEC
Depreciation,,,,,,15.46,15.26,14.93,61.17,54.16,ISEC
Interest,,,,,,28.5,49.13,41.97,85.95,106.76,ISEC
Profit before tax,,,,,,520.98,847.94,755.1,747.63,1430.77,ISEC
Tax,,,,,,183.37,298.84,268.18,210.92,363.22,ISEC
Net profit,,,,,,337.61,549.1,486.92,536.71,1067.55,ISEC
