Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,25.16,25.17,105.28,106.29,106.4,106.48,HDFCAMC
Reserves,,,,,1126.06,1397.77,2148.63,2964.3,3922.86,4669.7,HDFCAMC
Borrowings,,,,,,,,,,,HDFCAMC
Other Liabilities,,,,,271.5,176.66,218.23,153.16,279.34,318.52,HDFCAMC
Total,,,,,1422.72,1599.6,2472.14,3223.75,4308.6,5094.7,HDFCAMC
Net Block,,,,,31.16,31.18,30.93,39.7,156.71,153.22,HDFCAMC
Capital Work in Progress,,,,,1.1,2.42,5.96,3.17,4.6,1.18,HDFCAMC
Investments,,,,,985.79,1236.66,2057.74,2934.96,3944.51,4753.25,HDFCAMC
Other Assets,,,,,404.67,329.34,377.51,245.92,202.78,187.05,HDFCAMC
Total,,,,,1422.72,1599.6,2472.14,3223.75,4308.6,5094.7,HDFCAMC
Receivables,,,,,38.57,85.09,90.27,82.66,60.59,79.91,HDFCAMC
Inventory,,,,,,,,,,,HDFCAMC
Cash & Bank,,,,,0.98,1.27,2.06,31.99,27.1,2.35,HDFCAMC
No. of Equity Shares,,,,,25164200.0,25166900.0,210555200.0,212573210.0,212803325.0,212954202.0,HDFCAMC
New Bonus Shares,,,,,,,,,,,HDFCAMC
Face value,,,,,10.0,10.0,5.0,5.0,5.0,5.0,HDFCAMC
