Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,57.27,57.27,57.27,58.75,BECTORFOOD
Reserves,,,,,,,197.98,226.52,249.84,355.7,BECTORFOOD
Borrowings,,,,,,,134.08,161.21,133.85,132.04,BECTORFOOD
Other Liabilities,,,,,,,103.08,113.77,108.79,113.49,BECTORFOOD
Total,,,,,,,492.41,558.77,549.75,659.98,BECTORFOOD
Net Block,,,,,,,230.7,334.56,331.09,332.09,BECTORFOOD
Capital Work in Progress,,,,,,,92.08,15.56,5.95,55.27,BECTORFOOD
Investments,,,,,,,19.97,19.91,19.91,26.08,BECTORFOOD
Other Assets,,,,,,,149.66,188.74,192.8,246.54,BECTORFOOD
Total,,,,,,,492.41,558.77,549.75,659.98,BECTORFOOD
Receivables,,,,,,,67.24,98.39,73.14,67.58,BECTORFOOD
Inventory,,,,,,,34.42,33.29,42.06,55.6,BECTORFOOD
Cash & Bank,,,,,,,9.99,10.18,25.87,76.21,BECTORFOOD
No. of Equity Shares,,,,,,,57267622.0,57267922.0,57267922.0,58746514.0,BECTORFOOD
New Bonus Shares,,,,,,,,,,,BECTORFOOD
Face value,,,,,,,10.0,10.0,10.0,10.0,BECTORFOOD
