Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,,,693.22,1623.44,MOL
Raw Material Cost,,,,,,,,,397.76,965.03,MOL
Change in Inventory,,,,,,,,,-8.12,67.54,MOL
Power and Fuel,,,,,,,,,44.75,100.45,MOL
Other Mfr. Exp,,,,,,,,,51.41,121.55,MOL
Employee Cost,,,,,,,,,37.85,100.41,MOL
Selling and admin,,,,,,,,,17.61,45.28,MOL
Other Expenses,,,,,,,,,31.8,77.53,MOL
Other Income,,,,,,,,,137.83,30.41,MOL
Depreciation,,,,,,,,,22.4,50.65,MOL
Interest,,,,,,,,,18.25,11.16,MOL
Profit before tax,,,,,,,,,201.1,249.33,MOL
Tax,,,,,,,,,44.46,64.32,MOL
Net profit,,,,,,,,,156.64,185.01,MOL
