Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2011-03-31 00:00:00,2012-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,17.01,11.8,33.58,40.96,51.67,67.48,59.77,AAKASH
Raw Material Cost,,,,1.57,1.52,3.81,4.76,7.07,7.3,4.02,AAKASH
Change in Inventory,,,,,,,,,,,AAKASH
Power and Fuel,,,,,,9.17,10.76,12.61,16.15,16.4,AAKASH
Other Mfr. Exp,,,,,,1.91,3.38,3.25,0.21,0.23,AAKASH
Employee Cost,,,,5.83,3.62,10.72,13.06,18.9,21.21,20.44,AAKASH
Selling and admin,,,,,,1.15,1.32,1.47,6.09,4.84,AAKASH
Other Expenses,,,,7.41,5.49,0.21,0.01,0.55,1.19,1.07,AAKASH
Other Income,,,,0.32,0.22,0.22,0.27,2.17,0.23,0.57,AAKASH
Depreciation,,,,1.26,0.94,3.87,3.32,3.93,6.25,5.93,AAKASH
Interest,,,,0.14,0.07,1.3,1.37,1.23,2.57,1.86,AAKASH
Profit before tax,,,,1.12,0.38,1.66,3.25,4.83,6.74,5.55,AAKASH
Tax,,,,0.3,0.13,0.57,0.92,1.51,1.89,1.41,AAKASH
Net profit,,,,0.81,0.26,1.09,2.34,3.31,4.84,4.14,AAKASH
