Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2011-03-31 00:00:00,2012-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,10.51,17.45,90.63,118.45,147.23,213.39,213.04,KAPSTON
Raw Material Cost,,,,,,1.92,,,,,KAPSTON
Change in Inventory,,,,,,0.01,,,,,KAPSTON
Power and Fuel,,,,0.01,0.01,0.04,0.06,0.06,0.14,0.21,KAPSTON
Other Mfr. Exp,,,,5.28,5.09,3.46,1.79,3.01,4.91,4.26,KAPSTON
Employee Cost,,,,3.6,10.49,77.0,100.21,125.83,184.99,187.13,KAPSTON
Selling and admin,,,,1.06,0.8,3.97,5.09,4.55,4.73,3.93,KAPSTON
Other Expenses,,,,-0.01,0.01,0.15,0.19,0.49,1.32,0.9,KAPSTON
Other Income,,,,,,3.12,0.16,0.05,0.28,0.38,KAPSTON
Depreciation,,,,0.01,0.03,1.11,1.21,1.28,2.57,3.57,KAPSTON
Interest,,,,0.03,0.18,1.6,2.59,2.53,4.48,5.27,KAPSTON
Profit before tax,,,,0.53,0.84,4.51,7.47,9.53,10.53,8.15,KAPSTON
Tax,,,,0.17,0.3,1.62,1.47,0.96,-0.1,1.73,KAPSTON
Net profit,,,,0.36,0.53,2.89,6.02,8.56,10.64,6.42,KAPSTON
