Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,561.34,798.21,1050.06,1235.3,1318.01,1476.7,1581.95,1915.7,2042.8,2486.3,ASTRAL
Raw Material Cost,433.34,603.96,805.26,934.77,993.77,1044.91,1103.44,1310.2,1357.1,1515.5,ASTRAL
Change in Inventory,22.8,21.9,31.86,-1.47,26.71,-6.79,18.5,28.4,59.4,-39.1,ASTRAL
Power and Fuel,14.42,19.33,20.36,27.21,31.58,38.34,47.28,58.3,62.5,57.2,ASTRAL
Other Mfr. Exp,6.31,18.14,24.34,22.81,33.08,36.03,39.65,48.5,55.4,57.3,ASTRAL
Employee Cost,14.61,20.02,23.48,28.2,33.91,41.59,53.2,75.5,97.9,104.6,ASTRAL
Selling and admin,47.73,63.46,72.86,81.11,76.94,96.31,112.52,136.5,146.3,168.5,ASTRAL
Other Expenses,-14.14,-16.44,-15.18,-10.8,9.42,5.72,7.74,10.9,12.6,9.5,ASTRAL
Other Income,3.85,2.01,2.39,2.49,0.99,8.25,8.09,9.2,7.7,8.3,ASTRAL
Depreciation,13.38,17.67,21.33,33.01,35.44,41.73,46.67,67.1,89.9,96.2,ASTRAL
Interest,21.98,18.07,30.48,23.4,27.64,14.3,17.4,28.1,33.7,7.6,ASTRAL
Profit before tax,50.36,77.91,101.38,96.61,103.93,159.23,180.64,218.2,254.5,439.1,ASTRAL
Tax,10.61,18.4,24.17,27.76,31.09,52.61,61.62,76.8,53.7,112.2,ASTRAL
Net profit,39.75,59.52,77.21,68.84,72.85,106.63,119.02,141.4,200.8,326.9,ASTRAL
