Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,132.47,94.73,97.33,59.01,9.21,0.81,6.08,DIGJAMLMTD
Raw Material Cost,,,,64.04,42.65,52.75,29.86,1.44,-0.01,0.92,DIGJAMLMTD
Change in Inventory,,,,-5.96,-5.11,7.62,-2.28,-10.86,-0.64,-2.62,DIGJAMLMTD
Power and Fuel,,,,13.62,9.25,11.35,8.23,1.27,0.52,0.93,DIGJAMLMTD
Other Mfr. Exp,,,,10.38,6.61,9.11,3.65,0.68,0.07,2.51,DIGJAMLMTD
Employee Cost,,,,23.36,18.34,25.39,24.15,17.63,11.42,9.56,DIGJAMLMTD
Selling and admin,,,,15.32,11.2,11.31,6.84,3.43,1.62,1.77,DIGJAMLMTD
Other Expenses,,,,1.75,1.35,0.4,1.04,1.4,0.54,0.27,DIGJAMLMTD
Other Income,,,,3.71,0.68,0.11,1.03,1.08,0.08,24.1,DIGJAMLMTD
Depreciation,,,,4.04,2.17,2.83,2.75,2.64,2.55,2.42,DIGJAMLMTD
Interest,,,,12.35,8.59,13.52,14.14,15.31,1.13,0.24,DIGJAMLMTD
Profit before tax,,,,-14.64,-9.86,-21.6,-32.9,-44.37,-17.59,8.94,DIGJAMLMTD
Tax,,,,,,,,,,,DIGJAMLMTD
Net profit,,,,-14.64,-9.86,-21.6,-32.9,-44.36,-17.59,8.94,DIGJAMLMTD
