Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,,0.66,0.66,0.66,RATEGAIN
Reserves,,,,,,,,119.46,133.21,272.36,RATEGAIN
Borrowings,,,,,,,,,7.38,5.33,RATEGAIN
Other Liabilities,,,,,,,,36.76,37.77,19.12,RATEGAIN
Total,,,,,,,,156.88,179.02,297.47,RATEGAIN
Net Block,,,,,,,,5.99,13.77,9.48,RATEGAIN
Capital Work in Progress,,,,,,,,,,,RATEGAIN
Investments,,,,,,,,110.37,122.71,214.15,RATEGAIN
Other Assets,,,,,,,,40.52,42.54,73.84,RATEGAIN
Total,,,,,,,,156.88,179.02,297.47,RATEGAIN
Receivables,,,,,,,,15.39,11.87,18.48,RATEGAIN
Inventory,,,,,,,,,,,RATEGAIN
Cash & Bank,,,,,,,,8.36,8.3,11.3,RATEGAIN
No. of Equity Shares,,,,,,,,655000.0,655000.0,655000.0,RATEGAIN
New Bonus Shares,,,,,,,,,,,RATEGAIN
Face value,,,,,,,,10.0,10.0,10.0,RATEGAIN
