Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,292.29,1000.94,1009.9,854.11,298.3,ARVINDFASN
Raw Material Cost,,,,,,447.48,388.96,784.36,582.04,64.33,ARVINDFASN
Change in Inventory,,,,,,253.81,-150.38,141.55,-4.69,-104.17,ARVINDFASN
Power and Fuel,,,,,,0.57,0.87,0.84,0.63,0.21,ARVINDFASN
Other Mfr. Exp,,,,,,2.69,75.51,104.09,83.24,39.7,ARVINDFASN
Employee Cost,,,,,,25.59,51.09,66.39,56.19,35.49,ARVINDFASN
Selling and admin,,,,,,65.71,237.6,95.87,69.07,32.69,ARVINDFASN
Other Expenses,,,,,,1.45,1.77,6.01,7.85,1.01,ARVINDFASN
Other Income,,,,,,0.57,0.67,1.79,-7.15,-30.99,ARVINDFASN
Depreciation,,,,,,3.97,11.49,15.3,13.04,17.54,ARVINDFASN
Interest,,,,,,4.81,9.94,18.15,37.54,31.86,ARVINDFASN
Profit before tax,,,,,,-5.6,74.0,62.23,-7.33,-59.69,ARVINDFASN
Tax,,,,,,-2.07,20.61,0.72,-2.44,-0.28,ARVINDFASN
Net profit,,,,,,-3.54,53.39,61.51,-4.89,-59.41,ARVINDFASN
