Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,40.44,50.3,53.25,58.61,56.51,54.02,AWHCL
Raw Material Cost,,,,,,,,,,,AWHCL
Change in Inventory,,,,,,,,,,,AWHCL
Power and Fuel,,,,,2.48,3.49,4.52,5.17,5.21,5.7,AWHCL
Other Mfr. Exp,,,,,1.59,3.06,3.51,4.21,4.29,4.32,AWHCL
Employee Cost,,,,,17.34,18.87,19.38,23.52,21.49,21.46,AWHCL
Selling and admin,,,,,10.29,6.32,7.54,8.75,13.76,6.6,AWHCL
Other Expenses,,,,,2.13,4.75,3.03,4.12,1.16,1.1,AWHCL
Other Income,,,,,2.7,8.93,4.72,7.83,-14.89,6.45,AWHCL
Depreciation,,,,,3.38,3.28,3.68,2.99,2.45,2.22,AWHCL
Interest,,,,,7.07,6.0,7.95,7.82,6.84,4.51,AWHCL
Profit before tax,,,,,-1.14,13.46,8.36,9.86,-13.58,14.56,AWHCL
Tax,,,,,-0.02,,,0.21,,0.64,AWHCL
Net profit,,,,,-1.13,13.46,8.36,9.65,-13.58,13.92,AWHCL
