Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,0.02,5.99,5.99,11.97,11.97,VERTOZ
Reserves,,,,,,1.57,16.22,18.98,14.78,17.37,VERTOZ
Borrowings,,,,,,4.49,3.2,4.93,10.57,11.77,VERTOZ
Other Liabilities,,,,,,2.98,3.05,5.24,5.49,7.58,VERTOZ
Total,,,,,,9.06,28.46,35.14,42.81,48.69,VERTOZ
Net Block,,,,,,2.17,1.42,0.91,8.5,6.16,VERTOZ
Capital Work in Progress,,,,,,,,,,,VERTOZ
Investments,,,,,,0.44,1.41,24.16,25.03,26.93,VERTOZ
Other Assets,,,,,,6.45,25.63,10.07,9.28,15.6,VERTOZ
Total,,,,,,9.06,28.46,35.14,42.81,48.69,VERTOZ
Receivables,,,,,,3.34,12.88,5.94,5.76,12.38,VERTOZ
Inventory,,,,,,,,,,,VERTOZ
Cash & Bank,,,,,,2.8,11.62,3.51,2.77,2.5,VERTOZ
No. of Equity Shares,,,,,,20000.0,5985000.0,5985000.0,11970000.0,11970000.0,VERTOZ
New Bonus Shares,,,,,,,,,,,VERTOZ
Face value,,,,,,10.0,10.0,10.0,10.0,10.0,VERTOZ
