Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,108.48,102.1,105.13,108.65,111.75,118.53,128.13,149.38,159.18,195.48,REMSONSIND
Raw Material Cost,70.39,62.38,65.01,68.06,67.12,75.6,79.63,94.15,99.46,134.88,REMSONSIND
Change in Inventory,3.54,-2.86,0.52,1.79,1.49,0.24,1.57,1.16,3.75,-1.42,REMSONSIND
Power and Fuel,2.02,2.09,2.41,2.56,2.62,2.64,2.55,2.98,2.95,2.62,REMSONSIND
Other Mfr. Exp,8.02,6.8,7.21,8.24,8.29,4.31,3.94,4.3,5.17,3.99,REMSONSIND
Employee Cost,14.23,14.89,16.63,18.36,21.15,22.94,23.89,26.91,30.99,30.03,REMSONSIND
Selling and admin,14.11,13.57,14.68,15.77,11.51,9.71,10.46,11.59,11.64,10.83,REMSONSIND
Other Expenses,-6.07,-5.95,-6.4,-6.67,-2.04,1.02,1.01,1.37,1.3,1.74,REMSONSIND
Other Income,0.48,0.31,0.82,0.39,1.09,0.73,1.4,0.33,1.7,5.24,REMSONSIND
Depreciation,2.22,2.28,2.28,2.25,2.28,2.42,2.52,2.49,3.19,3.28,REMSONSIND
Interest,2.9,2.82,2.41,2.14,2.81,2.3,2.55,2.18,2.52,3.11,REMSONSIND
Profit before tax,4.68,0.67,2.24,0.12,0.59,-1.44,4.55,4.9,7.41,8.82,REMSONSIND
Tax,1.42,0.28,0.75,0.08,0.15,-0.66,1.1,1.47,2.08,2.17,REMSONSIND
Net profit,3.26,0.39,1.49,0.04,0.45,-0.78,3.45,3.44,5.34,6.66,REMSONSIND
