Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,15.49,15.5,15.5,15.5,15.5,16.36,GLAND
Reserves,,,,,1661.57,2074.32,2394.93,2846.62,3630.74,5886.93,GLAND
Borrowings,,,,,117.04,6.38,5.92,5.49,4.96,4.07,GLAND
Other Liabilities,,,,,292.21,377.54,511.99,654.97,434.83,588.69,GLAND
Total,,,,,2086.31,2473.74,2928.34,3522.58,4086.03,6496.05,GLAND
Net Block,,,,,787.88,871.58,842.64,928.74,968.1,954.23,GLAND
Capital Work in Progress,,,,,202.1,161.15,198.88,123.16,188.47,337.81,GLAND
Investments,,,,,0.17,,,,,0.55,GLAND
Other Assets,,,,,1096.16,1441.01,1886.82,2470.68,2929.46,5203.46,GLAND
Total,,,,,2086.31,2473.74,2928.34,3522.58,4086.03,6496.05,GLAND
Receivables,,,,,350.69,417.87,475.21,506.1,601.79,670.97,GLAND
Inventory,,,,,367.08,378.72,512.83,911.88,756.28,1275.17,GLAND
Cash & Bank,,,,,273.23,533.08,651.14,753.35,1325.19,3005.2,GLAND
No. of Equity Shares,,,,,15494949.0,15494949.0,15494949.0,15494949.0,154949490.0,163592923.0,GLAND
New Bonus Shares,,,,,,,,,,,GLAND
Face value,,,,,10.0,10.0,10.0,10.0,1.0,1.0,GLAND
