Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,46.53,371.86,443.29,488.95,498.61,649.07,IFGLEXPOR
Raw Material Cost,,,,,18.1,191.76,227.14,279.56,251.32,311.6,IFGLEXPOR
Change in Inventory,,,,,-0.33,7.47,-2.63,28.77,-4.85,7.63,IFGLEXPOR
Power and Fuel,,,,,2.03,13.15,16.44,19.13,17.72,20.6,IFGLEXPOR
Other Mfr. Exp,,,,,1.99,24.67,17.04,19.12,20.53,24.17,IFGLEXPOR
Employee Cost,,,,,3.37,38.12,39.45,41.65,44.31,51.85,IFGLEXPOR
Selling and admin,,,,,9.26,37.05,71.3,81.45,78.94,100.36,IFGLEXPOR
Other Expenses,,,,,0.02,23.59,-5.32,3.68,9.43,9.2,IFGLEXPOR
Other Income,,,,,0.04,3.08,1.92,3.07,7.79,5.52,IFGLEXPOR
Depreciation,,,,,3.31,37.01,37.97,38.87,39.37,39.29,IFGLEXPOR
Interest,,,,,1.61,4.49,4.62,4.78,4.16,3.85,IFGLEXPOR
Profit before tax,,,,,6.55,12.57,33.94,32.55,35.77,101.3,IFGLEXPOR
Tax,,,,,,-5.6,11.36,6.59,6.04,56.47,IFGLEXPOR
Net profit,,,,,6.55,18.16,22.58,25.96,29.73,44.83,IFGLEXPOR
