Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,4.05,5.51,5.51,5.51,11.02,ARVEE
Reserves,,,,,,0.15,8.69,10.95,13.25,10.42,ARVEE
Borrowings,,,,,,24.99,16.15,12.87,3.87,8.88,ARVEE
Other Liabilities,,,,,,6.49,13.77,7.81,11.0,10.73,ARVEE
Total,,,,,,35.68,44.12,37.14,33.63,41.05,ARVEE
Net Block,,,,,,16.88,14.88,12.65,13.18,13.81,ARVEE
Capital Work in Progress,,,,,,,1.18,2.32,1.78,0.97,ARVEE
Investments,,,,,,,,1.95,3.09,2.03,ARVEE
Other Assets,,,,,,18.8,28.06,20.22,15.58,24.24,ARVEE
Total,,,,,,35.68,44.12,37.14,33.63,41.05,ARVEE
Receivables,,,,,,8.22,15.48,7.92,6.52,7.88,ARVEE
Inventory,,,,,,6.22,8.16,4.61,6.47,7.43,ARVEE
Cash & Bank,,,,,,0.96,1.97,3.65,0.98,6.61,ARVEE
No. of Equity Shares,,,,,,4050000.0,5510000.0,5510000.0,5510000.0,11020000.0,ARVEE
New Bonus Shares,,,,,,,,,,,ARVEE
Face value,,,,,,10.0,10.0,10.0,10.0,10.0,ARVEE
