Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,0.02,0.59,0.73,99.43,213.33,NURECA
Raw Material Cost,,,,,,0.02,0.6,1.23,67.49,119.9,NURECA
Change in Inventory,,,,,,,0.13,0.71,2.88,20.53,NURECA
Power and Fuel,,,,,,,,,0.04,0.01,NURECA
Other Mfr. Exp,,,,,,,,,1.68,1.58,NURECA
Employee Cost,,,,,,,,,3.16,4.58,NURECA
Selling and admin,,,,,,,0.1,0.17,19.66,44.84,NURECA
Other Expenses,,,,,,,,0.01,0.57,1.27,NURECA
Other Income,,,,,,,,,0.06,2.82,NURECA
Depreciation,,,,,,,,,0.37,0.41,NURECA
Interest,,,,,,,,,0.77,1.6,NURECA
Profit before tax,,,,,,,0.02,0.03,8.63,62.49,NURECA
Tax,,,,,,,0.01,0.01,2.22,15.96,NURECA
Net profit,,,,,,,0.02,0.02,6.41,46.53,NURECA
