Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,53.4,68.98,72.65,146.6,146.62,146.62,MAXVIL
Reserves,,,,,133.55,235.67,319.4,700.02,711.61,719.64,MAXVIL
Borrowings,,,,,,56.09,0.09,0.15,26.78,29.61,MAXVIL
Other Liabilities,,,,,2.72,10.68,6.91,9.46,11.05,10.75,MAXVIL
Total,,,,,189.67,371.42,399.05,856.23,896.06,906.62,MAXVIL
Net Block,,,,,0.14,0.43,0.68,0.82,31.37,32.63,MAXVIL
Capital Work in Progress,,,,,,,,3.66,,,MAXVIL
Investments,,,,,167.05,353.55,325.34,606.29,622.35,812.63,MAXVIL
Other Assets,,,,,22.48,17.44,73.03,245.46,242.34,61.36,MAXVIL
Total,,,,,189.67,371.42,399.05,856.23,896.06,906.62,MAXVIL
Receivables,,,,,3.28,1.78,4.15,7.44,5.7,3.01,MAXVIL
Inventory,,,,,,,,,,,MAXVIL
Cash & Bank,,,,,11.26,0.51,0.57,114.6,36.83,16.68,MAXVIL
No. of Equity Shares,,,,,53396800.0,68977878.0,72648105.0,146600782.0,146624062.0,146624062.0,MAXVIL
New Bonus Shares,,,,,,,,,,,MAXVIL
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,MAXVIL
