Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,26.77,102.06,187.66,145.81,NYKAA
Raw Material Cost,,,,,,,26.94,45.59,79.94,48.57,NYKAA
Change in Inventory,,,,,,,8.47,14.28,14.74,-15.83,NYKAA
Power and Fuel,,,,,,,0.07,0.14,0.19,0.13,NYKAA
Other Mfr. Exp,,,,,,,0.35,0.08,0.22,0.27,NYKAA
Employee Cost,,,,,,,7.57,20.46,24.78,19.41,NYKAA
Selling and admin,,,,,,,15.9,61.0,93.68,63.71,NYKAA
Other Expenses,,,,,,,,-0.02,0.05,0.68,NYKAA
Other Income,,,,,,,6.44,17.19,30.5,60.25,NYKAA
Depreciation,,,,,,,1.02,4.01,7.4,8.43,NYKAA
Interest,,,,,,,0.42,2.69,4.88,4.21,NYKAA
Profit before tax,,,,,,,-10.59,-0.42,21.76,44.82,NYKAA
Tax,,,,,,,-2.75,-1.2,6.69,8.64,NYKAA
Net profit,,,,,,,-7.85,0.78,15.07,36.19,NYKAA
