Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,7.21,13.23,28.53,42.28,39.65,40.03,50.82,AJOONI
Raw Material Cost,,,,5.96,11.02,24.42,37.55,36.46,34.94,43.36,AJOONI
Change in Inventory,,,,0.09,0.03,0.06,-0.13,-0.01,0.02,0.34,AJOONI
Power and Fuel,,,,0.06,0.15,,0.3,0.57,0.62,1.05,AJOONI
Other Mfr. Exp,,,,0.03,0.11,,0.14,0.12,0.23,0.34,AJOONI
Employee Cost,,,,0.37,0.43,0.59,1.01,0.88,1.41,1.44,AJOONI
Selling and admin,,,,0.75,1.32,,2.09,0.96,1.62,3.55,AJOONI
Other Expenses,,,,,,2.91,0.13,-0.03,-0.01,-0.22,AJOONI
Other Income,,,,0.01,,0.05,0.22,0.34,0.06,0.02,AJOONI
Depreciation,,,,0.03,0.07,0.19,0.31,0.44,0.49,0.58,AJOONI
Interest,,,,,0.02,0.14,0.35,0.11,0.33,0.58,AJOONI
Profit before tax,,,,0.11,0.14,0.39,0.49,0.47,0.48,0.5,AJOONI
Tax,,,,0.03,0.04,0.11,0.1,0.07,0.14,0.13,AJOONI
Net profit,,,,0.07,0.1,0.28,0.39,0.41,0.35,0.37,AJOONI
