Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2011-03-31 00:00:00,2012-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,0.35,0.35,5.57,7.95,7.95,10.6,GANGAFORGE
Reserves,,,,,0.87,0.96,3.02,6.17,4.05,1.51,GANGAFORGE
Borrowings,,,,,4.37,2.84,7.83,12.67,11.57,10.54,GANGAFORGE
Other Liabilities,,,,,2.7,5.42,8.75,8.47,9.48,8.55,GANGAFORGE
Total,,,,,8.29,9.57,25.17,35.26,33.05,31.2,GANGAFORGE
Net Block,,,,,1.95,1.89,9.34,15.68,15.05,14.55,GANGAFORGE
Capital Work in Progress,,,,,,,,,0.36,,GANGAFORGE
Investments,,,,,,,,,,,GANGAFORGE
Other Assets,,,,,6.34,7.68,15.83,19.58,17.64,16.65,GANGAFORGE
Total,,,,,8.29,9.57,25.17,35.26,33.05,31.2,GANGAFORGE
Receivables,,,,,3.55,4.62,8.13,9.15,8.78,7.23,GANGAFORGE
Inventory,,,,,2.53,2.73,5.74,8.76,7.32,7.9,GANGAFORGE
Cash & Bank,,,,,0.1,0.11,0.02,0.09,0.07,0.19,GANGAFORGE
No. of Equity Shares,,,,,35000.0,35000.0,5565331.0,7947331.0,7947331.0,10596441.0,GANGAFORGE
New Bonus Shares,,,,,,,,,,,GANGAFORGE
Face value,,,,,100.0,100.0,10.0,10.0,10.0,10.0,GANGAFORGE
